:123 lhs, fn, arg1, arg2 =  ҂ ѡ Ҁ ш 255
:123 lhs, fn, arg1, arg2 =  ҁ ј h ҂ 255
:123 lhs, fn, arg1, arg2 =  h Ѧ ҁ ш 255
:123 lhs, fn, arg1, arg2 =  ѿ a Ѿ M 255
:123 lhs, fn, arg1, arg2 =  Ҁ ј ѿ е 255
:123 lhs, fn, arg1, arg2 =  ҂ ѡ Ҁ ш 255
:123 lhs, fn, arg1, arg2 =  ҁ ј h ҂ 255
:123 lhs, fn, arg1, arg2 =  h Ѧ ҁ ш 255
:123 lhs, fn, arg1, arg2 =  ѐ c e e 255
:123 lhs, fn, arg1, arg2 =  ё c e e 255
:123 lhs, fn, arg1, arg2 =  ѓ c e e 255
:123 lhs, fn, arg1, arg2 =  ј c e e 255
:123 lhs, fn, arg1, arg2 =  љ c e e 255
:123 lhs, fn, arg1, arg2 =  њ c e e 255
:123 lhs, fn, arg1, arg2 =  ѡ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѣ c e e 255
:123 lhs, fn, arg1, arg2 =  ѣ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѧ c e e 255
:123 lhs, fn, arg1, arg2 =  ѧ c e e 255
:123 lhs, fn, arg1, arg2 =  ѩ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѫ c e e 255
:123 lhs, fn, arg1, arg2 =  ѭ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѯ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѱ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѳ c e e 255
:123 lhs, fn, arg1, arg2 =  ѷ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѹ c e e 255
:123 lhs, fn, arg1, arg2 =  ѹ c e e 255
:123 lhs, fn, arg1, arg2 =  ѻ c e e 255
:123 lhs, fn, arg1, arg2 =  ѽ c e e 255
:123 lhs, fn, arg1, arg2 =  Ѿ c e e 255
:123 lhs, fn, arg1, arg2 =  Ҁ c e e 255
:123 lhs, fn, arg1, arg2 =  ҁ c e e 255
:123 lhs, fn, arg1, arg2 =  ж c e e 255
:123 lhs, fn, arg1, arg2 =  т c e e 255
:123 lhs, fn, arg1, arg2 =  ч c e e 255
:123 lhs, fn, arg1, arg2 =  ь c e e 255
:141 {a: ƒ, b: ƒ, c: ƒ, d: ƒ, e: 0, …}
